name,description,isActive,productInclType,product,paApplies,paType,paPercent,paBaseAmountType,paAmount,rndApplies,roundType,rndToAmount,rndIsMinus,rndPMAmount,customerInclType,customer,dateApplies,dateBegin,dateEnd,qtyApplies,qtyMin,qtyMax,isAutoApply,isTier2,dateCreated,dateLastModified
"Morris Siegel 01828",,"true","Product","01828","true","Fixed price","0%","Product Price","$185.82","false","Round to nearest","$1.00","true","$0.01","Customer","Morris Siegel","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Morris Siegel 01841",,"true","Product","01841","true","Fixed price","0%","Product Price","$247.40","false","Round to nearest","$1.00","true","$0.01","Customer","Morris Siegel","false","12/31/1999","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"Weiner's LTD 01962",,"true","Product","01962","true","Fixed price","0%","Product Price","$249.00","false","Round to nearest","$1.00","true","$0.01","Customer","Weiner's LTD","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Sunshine Wholesale 01829",,"true","Product","01829","true","Fixed price","0%","Product Price","$255.00","false","Round to nearest","$1.00","true","$0.01","Customer","Sunshine Wholesale","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","08/02/2023"
"Sunshine Wholesale 02830",,"true","Product","02830","true","Fixed price","0%","Product Price","$289.00","false","Round to nearest","$1.00","true","$0.01","Customer","Sunshine Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","08/02/2023"
"Sunshine Wholesale 01828",,"true","Product","01828","true","Fixed price","0%","Product Price","$185.00","false","Round to nearest","$1.00","true","$0.01","Customer","Sunshine Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","07/20/2023"
"Sunshine Wholesale 01947",,"true","Product","01947","true","Fixed price","0%","Product Price","$149.00","false","Round to nearest","$1.00","true","$0.01","Customer","Sunshine Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","07/20/2023"
"Sunshine Wholesale 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$294.00","false","Round to nearest","$1.00","true","$0.01","Customer","Sunshine Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","08/02/2023"
"Sunshine Wholesale 01841",,"true","Product","01841","true","Fixed price","0%","Product Price","$239.00","false","Round to nearest","$1.00","true","$0.01","Customer","Sunshine Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","08/02/2023"
"Pelican State Wholesale, Inc. 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$296.00","false","Round to nearest","$1.00","true","$0.01","Customer","Pelican State Wholesale, Inc.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"Pelican State Wholesale, Inc. 01829",,"true","Product","01829","true","Fixed price","0%","Product Price","$272.40","false","Round to nearest","$1.00","true","$0.01","Customer","Pelican State Wholesale, Inc.","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","06/16/2023"
"Pelican State Wholesale, Inc. 02830",,"true","Product","02830","true","Fixed price","0%","Product Price","$299.20","false","Round to nearest","$1.00","true","$0.01","Customer","Pelican State Wholesale, Inc.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"Pelican State Wholesale, Inc. 01828",,"true","Product","01828","true","Fixed price","0%","Product Price","$193.34","false","Round to nearest","$1.00","true","$0.01","Customer","Pelican State Wholesale, Inc.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"General Goods 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$303.60","false","Round to nearest","$1.00","true","$0.01","Customer","General Goods","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"General Goods 01962",,"true","Product","01962","true","Fixed price","0%","Product Price","$249.00","false","Round to nearest","$1.00","true","$0.01","Customer","General Goods","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"General Goods 01841",,"true","Product","01841","true","Fixed price","0%","Product Price","$264.40","false","Round to nearest","$1.00","true","$0.01","Customer","General Goods","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"General Goods 01829",,"true","Product","01829","true","Fixed price","0%","Product Price","$265.00","false","Round to nearest","$1.00","true","$0.01","Customer","General Goods","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","06/16/2023"
"General Goods 02830",,"true","Product","02830","true","Fixed price","0%","Product Price","$307.40","false","Round to nearest","$1.00","true","$0.01","Customer","General Goods","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"United Wholesale - Lakeland 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$295.80","false","Round to nearest","$1.00","true","$0.01","Customer","United Wholesale - Lakeland","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"United Wholesale - Lakeland 01829",,"true","Product","01829","true","Fixed price","0%","Product Price","$262.20","false","Round to nearest","$1.00","true","$0.01","Customer","United Wholesale - Lakeland","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","07/04/2023"
